Macedonian_Front	BBC
Kingdom_of_France_(1791%E2%80%9392)	Unified_Modeling_Language
Roman_Catholicism_in_Malawi	Laughing_gull
Zurich_(canton)	ISO_9529
Hauts-de-France	Keith_Morris
Simultaneous_multithreading	Iglesia_Evangelica_Unida_de_Cristo
Ecclesiastical_polity	Stephen_Harper
Lazarus_of_Bethany	John_Bell_(bishop)
Regulative_principle_of_worship	Pope_Clement_VIII
Johannine_epistles	Action_film
Kofiau_paradise_kingfisher	Native-born_citizen
31_May	Patriology
Rastafari	Libguestfs
Agreement_on_Trade_Related_Investment_Measures	Wallacea
GNU_Go	National_Baptist_Convention_of_America,_Inc.
Wernicke%27s_area	Charleston,_South_Carolina
Science_and_Technology_Minister_of_Israel	Howell_Heflin
Progressive_Conservative_Party_of_New_Brunswick	Coma
Luisa_Piccarreta	New_Testament
Bob_Miner	Canto_Ostinato
IEC_62700	Jennie_Eisenhower
Plug-in_(computing)	Asay%C3%AE%C5%9Fa_%C3%8Az%C3%AEdxan%C3%AA
Bill_Clinton	List_of_nonlinear_narrative_television_series
The_Citrus_Industry	International_Electrotechnical_Commission
U.S._Army	Tar_(file_format)
BBC	Virgin_Media_Ireland
Alessandro_Mattei	Sunrise_Calendar
Caml	Clustered_file_system
PSGI	Phishing
MPEG-4	Goods_market
Playrix	PSGI
Francisco_%C3%81lvares	Antonis_Samaras
Inner_Asia	Unified_Process
The_Times_(Trenton)	Prometheus_Books
Governor_of_Queensland	Pope_Gregory_XVI
Francis_David	Cambridge,_Massachusetts
Think_tank	Nom_de_guerre
Application_software	Anne_no_Nikki
Bigamy_(canon_law)	Sprachbund
Cambridge,_Massachusetts	PEW
Xen	Social_anthropology
Jig_bushing	Baptism
Bethel,_Berks_County,_Pennsylvania	Dadra_and_Nagar_Haveli
Ross_expedition	Governor_of_New_Jersey
Oblate_Sisters_of_Providence	IEC_62304
Lity_(Orthodox_Vespers)	Acre_(state)
Folk_music	Stereotypes_about_indigenous_peoples_of_North_America
Roeselare	Op_art
Hugh_Cochrane	Psychology
Schoonoord,_Alverna	John_Wells_(sportscaster)
Justicialist_Party	Office_suite
Latin_liturgical_rites	Robert_C._Martin
Gram_Panchayat	National_symbols_of_Belarus
Nursultan_Nazarbayev	Exarchate_of_Ravenna
Modal_realism	Sanctuary_shekel
Grace_Hopper	Proto_Malay
Paul_Moon	Oscar_Gustave_Rejlander
DigitalColor_Meter	Prince-Bishopric_of_Li%C3%A8ge
Church_council	Natal_Legislative_Assembly_Bill
Paraguay	Jean-Marie_Abgrall
Calvinism	Roman_Catholicism_in_Christmas_Island
Babylonian_religion	Choral_Public_Domain_Library
Guy_Verhofstadt	Second_Helvetic_Confession
Comparison_of_Scrum_software	Sunrise_Calendar
Palo_(religion)	Dispensationalist
Franciscan	Venizelism
Economy_of_El_Salvador	Chordate
Maona	MIT_School_of_Humanities,_Arts,_and_Social_Sciences
Lenin_Enrolment	National_Postal_Mail_Handlers_Union
The_Pragmatic_Programmer	Qiblah
Ursell_number	PageSpinner
Unlicense	Craig_L._Thomas
Gansu	Constitution_of_Indonesia
Field_goal_(American_and_Canadian_football)	Prime_Minister_of_Equatorial_Guinea
Noh_Omar	Daily_newspaper
United_Kingdom_European_Union_membership_referendum,_2016	W%C5%82adys%C5%82aw_Wr%C3%B3blewski
Life_sentences	Mike_Espy
Pope_Gregory_XVI	Semiconductor
Sunrise_Calendar	Business_process_reengineering
Lazarus_of_Bethany	GStreamer
Pisa	Collegiate_institute
History_of_the_Caribbean	IntelliJ_IDEA
Sunday_School	The_Maulana_Azad_Education_Trust_Aurangabad
Montastraea_annularis	Semipelagianism
W%C5%82adys%C5%82aw_Wr%C3%B3blewski	Milt_Dunnell
Abraka	International_Maritime_Organization
Leadership	Neckwear
MPEG-4	Freiwillige_Selbstkontrolle_der_Filmwirtschaft
Upcoming	Belgrade
Gender_dysphoria	Ecclesiastical_polity
List_of_Prince_Edward_Island_general_elections	Monastery_of_Saint_Naum
Empennage	Greater_Buenos_Aires
Natural_arch	Croatian_Navy
Malawi%E2%80%93Mozambique_relations	Kapingamarangi
Water	Microsoft_Visual_SourceSafe
Ethiopian_Catholic_Church	Development_Bank_of_Latin_America
Vertical_spread	Carey_Baptist_Grammar_School
Institute_for_Pure_and_Applied_Mathematics	Jewish_Koine_Greek
Arhalba	Ryomo_Kyokai
Motorola_Cliq	Natura_Artis_Magistra
